station_id,name,language,valid_from,valid_to,name_type,source_id,notes
PL.STN.Kalisz_Pomorski,Kalisz Pomorski,ru,,,official,SRC.osm,
PL.STN.Kalisz_Pomorski,Калиш Поморски,und,,,alt,SRC.osm,
PL.STN.Kalisz_Pomorski,Каліш Поморскі,und,,,alt,SRC.osm,
PL.STN.Chwalibogowo,Chwalibogowo,ru,,,official,SRC.osm,
PL.STN.Miloslaw,Miłosław,ru,,,official,SRC.osm,
PL.STN.Miloslaw,Miloslaw,und,,,alt,SRC.osm,
PL.STN.Miloslaw,Милослав,und,,,alt,SRC.osm,
PL.STN.Miloslaw,Мілослав,und,,,alt,SRC.osm,
PL.STN.Orzechowo,Orzechowo,ru,,,official,SRC.osm,
PL.STN.Orzechowo,Ожехово,und,,,alt,SRC.osm,
PL.STN.Czarne,Czarne,ru,,,official,SRC.osm,
PL.STN.Czarne,Hammerstein,und,,,alt,SRC.osm,
PL.STN.Czarne,Чарне,und,,,alt,SRC.osm,
PL.STN.Bedon,Bedoń,ru,,,official,SRC.osm,
PL.STN.Zoltnica,Żółtnica,ru,,,official,SRC.osm,
PL.STN.Czarnobor,Czarnobór,ru,,,official,SRC.osm,
PL.STN.Czarnobor,Stadtwald,und,,,alt,SRC.osm,
PL.STN.Szczecinek,Szczecinek,ru,,,official,SRC.osm,
PL.STN.Szczecinek,Neustettin,und,,,alt,SRC.osm,
PL.STN.Szczecinek,Щечінек,und,,,alt,SRC.osm,
PL.STN.Szczecinek,Щчечинек,und,,,alt,SRC.osm,
PL.STN.Lipno_Nowe,Lipno Nowe,ru,,,official,SRC.osm,
PL.STN.Leszno_Grzybowo,Leszno Grzybowo,ru,,,official,SRC.osm,
PL.STN.Przysieka_Stara,Przysieka Stara,ru,,,official,SRC.osm,
PL.STN.Przysieka_Stara,Пшишека Стара,und,,,alt,SRC.osm,
PL.STN.Przysieka_Stara,Пшишєка Стара,und,,,alt,SRC.osm,
PL.STN.Gorka_Duchowna,Górka Duchowna,ru,,,official,SRC.osm,
PL.STN.Oborzyska_Stare,Oborzyska Stare,ru,,,official,SRC.osm,
PL.STN.Ilowiec,Iłowiec,ru,,,official,SRC.osm,
PL.STN.Czempin,Czempiń,ru,,,official,SRC.osm,
PL.STN.Czempin,Czempin,und,,,alt,SRC.osm,
PL.STN.Czempin,Tschempin,und,,,alt,SRC.osm,
PL.STN.Czempin,Чемпинь,und,,,alt,SRC.osm,
PL.STN.Druzyna_Poznanska,Drużyna Poznańska,ru,,,official,SRC.osm,
PL.STN.Davidovky,Davidovky,ru,,,official,SRC.osm,
PL.STN.Biala_Prudnicka,Biała Prudnicka,ru,,,official,SRC.osm,
PL.STN.Biala_Prudnicka,Zülz,und,,,alt,SRC.osm,
PL.STN.Dworzec_Autobusowy_w_Lesznie,Dworzec Autobusowy w Lesznie,ru,,,official,SRC.osm,
PL.STN.Dworzec_Autobusowy_w_Lesznie,Автовокзал в Лешно,und,,,alt,SRC.osm,
PL.STN.Hirschfelde,Hirschfelde,ru,,,official,SRC.osm,
PL.STN.Duszniki-Zdroj,Duszniki-Zdrój,ru,,,official,SRC.osm,
PL.STN.Duszniki-Zdroj,Bad Reinerz,und,,,alt,SRC.osm,
PL.STN.Duszniki-Zdroj,Душники-Здруй,und,,,alt,SRC.osm,
PL.STN.Rabka-Zdroj,Rabka-Zdrój,ru,,,official,SRC.osm,
PL.STN.Rabka-Zdroj,Bad Rabka,und,,,alt,SRC.osm,
PL.STN.Rabka-Zdroj,Рабка-Здруй,und,,,alt,SRC.osm,
PL.STN.Rabka-Zdroj,拉布卡-茲德魯伊,und,,,alt,SRC.osm,
PL.STN.Dzierzoniow_Slaski,Dzierżoniów Śląski,ru,,,official,SRC.osm,
PL.STN.Dzierzoniow_Slaski,Дзержонюв-Сльонскі,und,,,alt,SRC.osm,
PL.STN.Dzierzoniow_Slaski,Дзержонюв-Слёнски,und,,,alt,SRC.osm,
PL.STN.Szklarska_Poreba_Huta,Szklarska Poręba Huta,ru,,,official,SRC.osm,
PL.STN.Witanow,Witanów,ru,,,official,SRC.osm,
PL.STN.Dworzec_Komunikacji_Beskidzkiej,Dworzec Komunikacji Beskidzkiej,ru,,,official,SRC.osm,
PL.STN.Gniezno_Winiary,Gniezno Winiary,ru,,,official,SRC.osm,
PL.STN.Gniezno_Winiary,Winiary Wielkopolskie,und,,,alt,SRC.osm,
PL.STN.Gniezno_Winiary,Winnendorf,und,,,alt,SRC.osm,
PL.STN.Petla_Chomiczowka,Pętla Chomiczówka,ru,,,official,SRC.osm,
PL.STN.Petla_Chomiczowka,Петля Хомичувка,und,,,alt,SRC.osm,
PL.STN.Petla_Chomiczowka,Петля Хомічувка,und,,,alt,SRC.osm,
PL.STN.Pomezni_hbet,Pomezní hřbet,ru,,,official,SRC.osm,
PL.STN.Trawniki,Trawniki,ru,,,official,SRC.osm,
PL.STN.Trawniki,Травники,und,,,alt,SRC.osm,
PL.STN.Trawniki,Травнікі,und,,,alt,SRC.osm,
PL.STN.Biskupice,Biskupice,ru,,,official,SRC.osm,
PL.STN.Minkowice,Minkowice,ru,,,official,SRC.osm,
PL.STN.Minkowice,Минковице,und,,,alt,SRC.osm,
PL.STN.Minkowice,Мінковіце,und,,,alt,SRC.osm,
PL.STN.Pogorzelica,Pogorzelica,ru,,,official,SRC.osm,
PL.STN.Pogorzelica,Fischerkathen,und,,,alt,SRC.osm,
PL.STN.Uvalno,Úvalno,ru,,,official,SRC.osm,
PL.STN.Uvalno,Lobenstein,und,,,alt,SRC.osm,
PL.STN.Warszawa_ZOO,Warszawa ZOO,ru,,,official,SRC.osm,
